StationID	From_date	To_date	Height	Lat	Long	Station_Na	State	dateF	dateE	length
20	20040814	20220110	432	48.9219	9.9129	Abtsgmünd-Untergröningen	Baden-Württemberg	2005	2020	16
150	20050701	20220110	215	49.7273	8.1164	Alzey	Rheinland-Pfalz	2006	2020	15
158	20040701	20220110	210	50.784	8.9545	Amöneburg-Rüdigheim	Hessen	2005	2020	16
191	20050301	20220110	217	49.9694	9.9114	Arnstein-Müdesheim	Bayern	2006	2020	15
211	20041101	20220110	200	50.58	8.4685	Aßlar Klein-Altenstädten	Hessen	2005	2020	16
216	20041001	20220110	298	51.1143	7.8807	Attendorn-Neulisternohl	Nordrhein-Westfalen	2005	2020	16
227	20041001	20220110	432	49.8823	11.2656	Aufseß-Hochstahl	Bayern	2005	2020	16
257	20021101	20220110	240	48.727	8.2457	Baden-Baden-Geroldsau	Baden-Württemberg	2003	2020	18
259	20040701	20220110	275	47.8064	7.6387	Müllheim	Baden-Württemberg	2005	2020	16
275	20041001	20220110	1039	47.465	10.1043	Balderschwang	Bayern	2005	2020	16
282	19950901	20220110	240	49.8743	10.9206	Bamberg	Bayern	1996	2020	25
377	20041001	20220110	210	49.107	7.9967	Bergzabern, Bad	Rheinland-Pfalz	2005	2020	16
390	20040701	20220110	610	50.9837	8.3683	Berleburg, Bad-Stünzel	Nordrhein-Westfalen	2005	2020	16
535	20040601	20220110	417	50.0372	7.3079	Blankenrath	Rheinland-Pfalz	2005	2020	16
755	20040601	20220110	340	49.5182	9.3213	Buchen, Kr. Neckar-Odenwald	Baden-Württemberg	2005	2020	16
757	20040601	20220110	445	47.9625	7.9983	Buchenbach	Baden-Württemberg	2005	2020	16
796	20041101	20220110	412	50.7556	8.1257	Burbach-Würgendorf	Nordrhein-Westfalen	2005	2020	16
812	20041201	20220110	278	50.1429	11.2322	Burgkunstadt	Bayern	2005	2020	16
931	20041019	20220110	712	47.8007	9.4108	Deggenhausertal-Azenweiler	Baden-Württemberg	2005	2020	16
970	20021101	20220110	405	49.4158	10.6734	Dietenhofen	Bayern	2003	2020	18
978	20050201	20220110	155	50.3574	8.0485	Holzheim bei Diez	Rheinland-Pfalz	2006	2020	15
989	20050201	20220110	46	51.5765	6.7849	Dinslaken	Nordrhein-Westfalen	2006	2020	15
1055	20041001	20220110	482	50.6316	8.1813	Driedorf	Hessen	2005	2020	16
1078	19950901	20220110	37	51.296	6.7686	Düsseldorf	Nordrhein-Westfalen	1996	2020	25
1107	20041201	20220110	346	49.852	10.4991	Ebrach	Bayern	2005	2020	16
1197	20021101	20220110	460	48.9895	10.1312	Ellwangen-Rindelbach	Baden-Württemberg	2003	2020	18
1214	20040801	20220110	431	48.2012	8.1088	Elzach-Fisnacht	Baden-Württemberg	2005	2020	16
1216	20050201	20220110	312	49.4251	9.243	Elztal-Rittersbach	Baden-Württemberg	2006	2020	15
1224	20021201	20220110	201	48.1378	7.8351	Emmendingen-Mundingen	Baden-Württemberg	2003	2020	18
1290	20051101	20220110	716	48.1868	8.4672	Eschbronn-Mariazell	Baden-Württemberg	2006	2020	15
1303	19950901	20220110	150	51.4041	6.9677	Essen-Bredeney	Nordrhein-Westfalen	1996	2020	25
1327	20040801	20220110	147	50.7119	6.7905	Weilerswist-Lommersum	Nordrhein-Westfalen	2005	2020	16
1420	19950901	20220110	100	50.0259	8.5213	Frankfurt/Main	Hessen	1996	2020	25
1443	19950901	20220110	237	48.0232	7.8343	Freiburg	Baden-Württemberg	1996	2020	25
1468	19950901	20220110	797	48.4538	8.409	Freudenstadt	Baden-Württemberg	1996	2020	25
1561	20041201	20220110	414	50.4034	9.2076	Gedern-Schönhausen	Hessen	2005	2020	16
1602	20040701	20220110	177	48.433	7.993	Ohlsbach	Baden-Württemberg	2005	2020	16
1639	19970320	20220110	203	50.6017	8.6439	Gießen/Wettenberg	Hessen	1998	2020	23
1650	20041101	20220110	250	49.4648	7.4111	Henschtal	Rheinland-Pfalz	2005	2020	16
1689	20040701	20220110	441	49.7656	11.3062	Gößweinstein	Bayern	2005	2020	16
1937	20050201	20220110	524	48.3705	8.7666	Haigerloch-Weildorf	Baden-Württemberg	2006	2020	15
2064	20050101	20220110	449	49.184	10.8243	Haundorf-Obererlbach	Bayern	2005	2020	16
2159	20050701	20220110	434	48.5915	8.8541	Herrenberg	Baden-Württemberg	2006	2020	15
2213	20021101	20220110	407	50.3105	6.6236	Lissendorf	Rheinland-Pfalz	2003	2020	18
2329	20040901	20220110	255	50.2446	8.5725	Homburg, Bad (Filterwerk)	Hessen	2005	2020	16
2388	20050301	20220110	193	48.0419	7.6322	Ihringen	Baden-Württemberg	2006	2020	15
2431	20041001	20220110	367	50.1337	10.9317	Itzgrund-Herreth	Bayern	2005	2020	16
2486	20050301	20220110	271	49.4262	7.7557	Kaiserslautern	Rheinland-Pfalz	2006	2020	15
2595	20040701	20220110	181	49.789	7.4853	Kirn	Rheinland-Pfalz	2005	2020	16
2600	20050301	20220110	193	49.7363	10.1781	Kitzingen	Bayern	2006	2020	15
2638	19950901	20220110	974	48.1054	8.7548	Klippeneck	Baden-Württemberg	1996	2020	25
2667	19950901	20220110	92	50.8646	7.1575	Köln-Bonn	Nordrhein-Westfalen	1996	2020	25
2709	20041101	20220110	230	49.9164	10.2363	Kolitzheim	Bayern	2005	2020	16
2712	19950901	20220110	428	47.6952	9.1307	Konstanz	Baden-Württemberg	1996	2020	25
2750	20051101	20220110	310	50.2524	11.3209	Kronach	Bayern	2006	2020	15
2787	20050101	20220110	354	49.2428	9.6786	Kupferzell-Rechbach	Baden-Württemberg	2005	2020	16
2812	19960327	20220110	156	48.3647	7.828	Lahr	Baden-Württemberg	1997	2020	24
2860	20041201	20220110	371	49.5076	10.7885	Langenzenn	Bayern	2005	2020	16
2880	20050711	20220110	319	49.5522	9.6345	Lauda-Königshofen-Heckfeld	Baden-Württemberg	2006	2020	15
3028	19950901	20220110	157	51.7854	8.8388	Lippspringe, Bad	Nordrhein-Westfalen	1996	2020	25
3031	20040701	20220110	92	51.6336	8.3945	Lippstadt-Bökenförde	Nordrhein-Westfalen	2005	2020	16
3098	19950901	20220110	387	51.2452	7.6425	Lüdenscheid	Nordrhein-Westfalen	1996	2020	25
3136	20021101	20220110	102	50.1294	8.8209	Mühlheim/Main	Hessen	2003	2020	18
3167	19990527	20220110	547	50.6621	7.9603	Marienberg, Bad	Rheinland-Pfalz	2000	2020	21
3179	20040801	20220110	320	49.666	10.3851	Markt Bibart	Bayern	2005	2020	16
3207	20041201	20220110	328	50.1798	10.272	Maßbach	Bayern	2005	2020	16
3257	20040601	20220110	251	49.4773	9.7622	Mergentheim, Bad-Neunkirchen	Baden-Württemberg	2005	2020	16
3263	20040901	20220110	171	49.4566	6.6266	Merzig	Saarland	2005	2020	16
3284	20050501	20220110	240	49.6692	9.0085	Michelstadt	Hessen	2006	2020	15
3287	19950901	20220110	453	49.7177	9.0997	Michelstadt-Vielbrunn	Hessen	1996	2020	25
3442	20041001	20220110	149	50.3574	8.7506	Nauheim, Bad	Hessen	2005	2020	16
3497	20041001	20220110	336	50.1226	11.5596	Ludwigschorgast	Bayern	2005	2020	16
3540	20041101	20220110	195	50.8446	7.372	Neunkirchen-Seelscheid-Krawinkel	Nordrhein-Westfalen	2005	2020	16
3545	20050301	20220110	236	49.344	7.2297	Neunkirchen-Wellesweiler	Saarland	2006	2020	15
3625	20040901	20220110	403	49.5568	7.0716	Nohfelden-Gonnesweiler	Saarland	2005	2020	16
3667	20050301	20220110	369	49.4258	11.2539	Nürnberg-Netzstall	Bayern	2006	2020	15
3668	19950901	20220110	314	49.503	11.0549	Nürnberg	Bayern	1996	2020	25
3734	20040701	20220110	230	49.128	9.3525	Obersulm-Willsbach	Baden-Württemberg	2005	2020	16
3761	19950901	20220110	276	49.207	9.5176	Öhringen	Baden-Württemberg	1996	2020	25
3795	20041201	20220110	49	51.7066	7.3564	Olfen	Nordrhein-Westfalen	2005	2020	16
3904	20040901	20220110	152	49.5354	6.3789	Perl-Nennig	Saarland	2005	2020	16
3975	20050301	20220110	522	49.4777	11.5357	Pommelsbrunn-Mittelburg	Bayern	2006	2020	15
4090	20050801	20220110	89	50.0056	8.4291	Raunheim	Hessen	2006	2020	15
4094	20040601	20220110	441	47.8062	9.6206	Weingarten, Kr. Ravensburg	Baden-Württemberg	2005	2020	16
4150	20051201	20220110	59	51.8118	7.0907	Reken	Nordrhein-Westfalen	2006	2020	15
4160	20040701	20220110	478	48.7425	8.924	Renningen-Ihinger Hof	Baden-Württemberg	2005	2020	16
4169	20021101	20220110	131	48.6703	7.9939	Rheinau-Memprechtshofen	Baden-Württemberg	2003	2020	18
4287	20050101	20220110	415	49.3848	10.1732	Rothenburg ob der Tauber	Bayern	2005	2020	16
4294	20041026	20220110	360	48.4704	8.9687	Rottenburg-Kiebingen	Baden-Württemberg	2005	2020	16
4300	20040701	20220110	588	48.1814	8.6356	Rottweil	Baden-Württemberg	2005	2020	16
4308	20021101	20220110	403	50.0517	7.8876	Rüdesheim-Presberg	Hessen	2003	2020	18
4315	20050901	20220110	914	48.5615	8.2228	Baiersbronn-Ruhestein	Baden-Württemberg	2006	2020	15
4336	19960620	20220110	320	49.2128	7.1077	Saarbrücken-Ensheim	Saarland	1997	2020	24
4349	20040601	20220110	251	48.9569	9.0711	Sachsenheim	Baden-Württemberg	2005	2020	16
4368	20041001	20220110	93	51.7098	8.5796	Salzkotten	Nordrhein-Westfalen	2005	2020	16
4377	20050901	20220110	518	50.3518	10.0034	Sandberg	Bayern	2006	2020	15
4400	20040801	20220110	171	51.5439	8.1808	Sassendorf, Bad-Beusingsen	Nordrhein-Westfalen	2005	2020	16
4480	20040901	20220110	230	50.3447	9.5534	Schlüchtern-Herolz	Hessen	2005	2020	16
4599	20050101	20220110	331	49.3425	11.1077	Wendelstein-Kleinschwarzenlohe	Bayern	2005	2020	16
4741	20041201	20220110	152	51.14	7.093	Solingen-Hohenscheid	Nordrhein-Westfalen	2005	2020	16
4818	20041001	20220110	597	50.1531	11.7402	Stammbach-Querenbach	Bayern	2005	2020	16
4881	20041110	20220110	532	47.8591	9.0152	Stockach	Baden-Württemberg	2005	2020	16
4887	19950901	20220110	734	48.6656	9.8648	Stötten	Baden-Württemberg	1996	2020	25
4928	19980601	20220110	314	48.8281	9.2	Stuttgart (Schnarrenberg)	Baden-Württemberg	1999	2020	22
4931	19951004	20220110	371	48.6883	9.2235	Stuttgart-Echterdingen	Baden-Württemberg	1996	2020	25
5017	20051101	20220110	633	50.4002	11.3888	Teuschnitz	Bayern	2006	2020	15
5059	20041028	20220110	781	47.7279	7.9988	Todtmoos	Baden-Württemberg	2005	2020	16
